2026-01-20 11:14:04,463 | report_generator | INFO | ✅ 1 trending topics trouvés
2026-01-20 11:14:04,463 | report_generator | INFO | ✨ Extraction must-read articles...
2026-01-20 11:14:04,464 | report_generator | INFO | ✅ 5 must-read articles sélectionnés
2026-01-20 11:14:04,464 | report_generator | INFO | 📊 Analyse thématique...
2026-01-20 11:14:04,464 | report_generator | INFO | 😊 Analyse sentiments...
2026-01-20 11:14:04,465 | report_generator | INFO | ✅ Rapport sauvegardé: output\veille_report.txt
2026-01-20 11:14:04,465 | __main__ | INFO | ✅ ÉTAPE 4 COMPLÉTÉE : Rapport sauvegardé
2026-01-20 11:14:04,465 | __main__ | INFO | 
===========================================================================
2026-01-20 11:14:04,466 | __main__ | INFO | ✅ PIPELINE COMPLET - SUCCÈS
2026-01-20 11:14:04,466 | __main__ | INFO | ===========================================================================
2026-01-20 11:14:04,466 | __main__ | INFO | Rapport généré: output/veille_report.txt
2026-01-20 11:14:04,466 | __main__ | INFO | Articles traités: 63
2026-01-20 11:14:04,466 | __main__ | INFO | Temps total: 11:14:04
2026-01-20 11:14:04,466 | __main__ | INFO | ===========================================================================
2026-01-20 11:38:58,611 | __main__ | INFO | 🚀 Pipeline Veille NLP - Démarrage
2026-01-20 11:38:58,612 | __main__ | INFO | Configuration chargée depuis: config.json
2026-01-20 11:38:58,613 | __main__ | INFO | 
===========================================================================
2026-01-20 11:38:58,613 | __main__ | INFO | ÉTAPE 1 : COLLECTE ARTICLES
2026-01-20 11:38:58,614 | __main__ | INFO | ===========================================================================
2026-01-20 11:38:58,615 | news_collector | INFO | ======================================================================
2026-01-20 11:38:58,615 | news_collector | INFO | 📥 COLLECTE ARTICLES - Début
2026-01-20 11:38:58,616 | news_collector | INFO | ======================================================================
2026-01-20 11:38:58,616 | news_collector | INFO | 🔄 Collecte HackerNews...
2026-01-20 11:38:58,616 | news_collector | INFO |   Scraping page 1/2
2026-01-20 11:39:01,358 | news_collector | INFO |   Scraping page 2/2
2026-01-20 11:39:03,575 | news_collector | INFO | ✅ HackerNews: 60 articles collectés
2026-01-20 11:39:03,577 | news_collector | INFO | 🔄 Collecte RSS: https://pycoders.com/feed
2026-01-20 11:39:04,043 | news_collector | INFO | ✅ RSS: 3 articles collectés
2026-01-20 11:39:04,044 | news_collector | INFO | ======================================================================
2026-01-20 11:39:04,044 | news_collector | INFO | 📊 RÉSUMÉ COLLECTE
2026-01-20 11:39:04,044 | news_collector | INFO |    Total articles : 63
2026-01-20 11:39:04,045 | news_collector | INFO |    Total erreurs : 0
2026-01-20 11:39:04,045 | news_collector | INFO | ======================================================================
2026-01-20 11:39:04,046 | news_collector | INFO | ✅ Articles sauvegardés: data/articles_raw.jsonl
2026-01-20 11:39:04,046 | news_collector | INFO | ✅ Erreurs sauvegardées: data/collection_errors.json
2026-01-20 11:39:04,046 | __main__ | INFO | ✅ ÉTAPE 1 COMPLÉTÉE : 63 articles collectés
2026-01-20 11:39:04,047 | __main__ | INFO | 
===========================================================================
2026-01-20 11:39:04,047 | __main__ | INFO | ÉTAPE 2 : PRÉTRAITEMENT NLP
2026-01-20 11:39:04,047 | __main__ | INFO | ===========================================================================
2026-01-20 11:39:06,861 | text_preprocessor | INFO | ✅ Modèle spaCy chargé: fr_core_news_sm
2026-01-20 11:39:06,862 | text_preprocessor | INFO | 🔧 Preprocessing 63 articles...
2026-01-20 11:39:07,063 | text_preprocessor | INFO |   ✓ 20/63 articles
2026-01-20 11:39:07,253 | text_preprocessor | INFO |   ✓ 40/63 articles
2026-01-20 11:39:07,432 | text_preprocessor | INFO |   ✓ 60/63 articles
2026-01-20 11:39:07,464 | text_preprocessor | INFO | ✅ Preprocessing terminé: 63 articles
2026-01-20 11:39:07,465 | __main__ | INFO | ✅ ÉTAPE 2 COMPLÉTÉE : 63 articles traités
2026-01-20 11:39:07,466 | __main__ | INFO | 
===========================================================================
